CaseID,type1,type2,type3,type4,type5,type6,type7
b123,0,2,0,1,0,0,0
b1a3,2,0,0,1,0,0,0
b1a4,1,0,0,0,0,0,0
b124,0,1,0,1,0,0,0
ba47,0,0,0,0,0,0,0
b129,0,2,0,0,0,0,0
b135,0,0,0,3,0,0,0
b1234,0,3,0,2,0,0,0
b24a3,2,2,0,1,0,0,0
b1239,0,3,0,2,0,0,0
b123a,3,2,0,1,0,0,0
b1249,0,3,0,1,0,0,0
b124a,2,1,0,1,0,0,0
b1352,0,2,0,3,0,0,0
ba419,1,1,0,0,0,0,0
ba471,1,0,0,1,0,0,0
ba479,0,1,0,1,0,0,0
b1357i3,0,0,0,6,0,0,0
b12345,0,4,0,4,0,0,0
b12a79,2,3,0,2,0,0,0
b123a9,3,3,0,2,0,0,0
b1234a,3,3,0,2,0,0,0
ba2349,4,4,0,2,0,0,0
b12349,0,5,0,3,0,0,0
b12359,0,3,0,4,0,0,0
b12i0i7i89,0,6,0,0,0,0,0
b12357i3,0,3,0,6,0,0,0
6b13579i1,0,0,0,9,0,0,0
6b123456,0,6,0,6,0,0,0
6b123459,0,6,0,5,0,0,0
7b12i0i7i898,0,7,0,2,0,0,0
7b12357i34,0,5,0,7,0,0,0
7b1234567,0,8,0,7,0,0,0
8b12345678,0,9,0,8,0,0,0
9b123456789,0,12,0,10,0,0,0
10b123456789i0,0,13,0,12,0,0,0
11b123456789i0i1,0,16,0,15,0,0,0
12b123456789i0i1i2,0,18,0,18,0,0,0
13b123456789i0i1i2i3,0,20,0,20,0,0,0
14b123456789i0i1i2i3i4,0,23,0,22,0,0,0
15b123456789i0i1i2i3i4i5,0,26,0,25,0,0,0
16b123456789i0i1i2i3i4i5i6,0,29,0,28,0,0,0
17b123456789i0i1i2i3i4i5i6i7,0,32,0,32,0,0,0
18b123456789i0i1i2i3i4i5i6i7i8,0,36,0,36,0,0,0
